Objective	Sequence	Objective Type	Step SubSequence	Step Type	Step Automation	Method	Method From	Data Object Input	Input Format	Input Data Type	Method With	Method To	Data Object Output	Output Format	Output Data Type	Notes	interview	projectid
Substrate characterization	1	Sample Preparation	1	Measure	Manual	Small angle reflection	Unknown Physical	A_Substrate_1	Physical material	Data	Small angle reflection	Email_A	A_Substrate_video	Unspecified video format	Metadata		A	THIN FILM SYNTHESIS
Substrate characterization	1	Sample Preparation	2	Store	Manual	Labarchive	Email_A	A_Substrate_video	Unspecified video format	Metadata	Small angle reflection	Labarchive_A	A_Substrate_video	Unspecified video format	Metadata		A	THIN FILM SYNTHESIS
Substrate characterization	1	Sample Preparation	3	Store	Manual	Store	Small angle reflection	A_Substrate_1	Physical material	Data	Small angle reflection	Lab sample storage	A_Substrate_1	Physical material	Data		A	THIN FILM SYNTHESIS
Thin film perovskite synthesis (MBE)	2	Sample Synthesis	1	Document	Manual	MBE	Lab sample storage	A_Substrate_1	Physical material	Data	MBE	Labarchive_A	A_ChamberConditions_Initial	TXT	Metadata	chamber conditions: temperature, pressure	A	THIN FILM SYNTHESIS
Thin film perovskite synthesis (MBE)	2	Sample Synthesis	2	Synthesize	Automated partially	MBE	Lab sample storage	A_Substrate_1	Physical material	Data	MBE	Lab sample storage	A_ThinFilm_1	Physical material	Data	picture inside fabrication chamber of subtrate with film growth	A	THIN FILM SYNTHESIS
Thin film perovskite synthesis (MBE)	2	Sample Synthesis	2	Synthesize	Automated partially	MBE	Lab sample storage	A_Substrate_1	Physical material	Data	MBE	Email_A	A_ChamberConditions_Final	TXT	Metadata		A	THIN FILM SYNTHESIS
Thin film perovskite synthesis (MBE)	2	Sample Synthesis	2	Synthesize	Automated partially	MBE	Lab sample storage	A_Substrate_1	Physical material	Data	MBE	Email_A	A_ThinFilm_info	TXT	Metadata		A	THIN FILM SYNTHESIS
Thin film perovskite synthesis (MBE)	2	Sample Synthesis	2	Synthesize	Automated partially	MBE	Lab sample storage	A_Substrate_1	Physical material	Data	MBE	Email_A	A_ThinFilm_video	Unspecified video format	Data		A	THIN FILM SYNTHESIS
Thin film perovskite synthesis (MBE)	2	Sample Synthesis	3	Store	Manual	Dropbox	Email_A	A_ChamberConditions_Final	Unspecified program format (lab-specific)	Metadata	Hand-input	Dropbox:Group	A_ChamberConditions_Final	TXT	Metadata	program connected to MBE to control chamber conditions, recorded before and during growth, customized for lab-specific use	A	THIN FILM SYNTHESIS
Thin film perovskite synthesis (MBE)	2	Sample Synthesis	4	Store	Manual	Labarchive	Email_A	A_ThinFilm_info	TXT	Metadata	Hand-input	Labarchive:Group	A_ThinFilm_info	TXT	Metadata		A	THIN FILM SYNTHESIS
Thin film perovskite synthesis (MBE)	2	Sample Synthesis	5	Store	Manual	Unspecified backup software from MIT	Email_A	A_ThinFilm_video	Unspecified video format	Data	Hand-input	Unspecified backup software from MIT	A_ThinFilm_video	Unspecified video format	Data		A	THIN FILM SYNTHESIS
Thin film perovskite synthesis (MBE)	2	Sample Synthesis	6	Store	Manual	Store	MBE	A_ThinFilm_1	Physical material	Data	Hand-transfer	Lab sample storage	A_ThinFilm_1	Physical material	Data		A	THIN FILM SYNTHESIS
XRD for crystallographic orientation	3	Optical Property Measurement	1	Measure	Automated partially	XRD:MIT MRL	Lab sample storage	A_ThinFilm_1	Physical material	Data	XRD:MIT MRL	Email_A	A_XRD_info	XRD proprietary format	Metadata		A	THIN FILM SYNTHESIS
XRD for crystallographic orientation	3	Optical Property Measurement	2	Transfer	Manual	Email	XRD:MIT MRL	A_XRD_info	XRD proprietary format	Both	Hand-input	Email_A	A_XRD_info	XRD proprietary format	Both	*Method: email, dropbox, or USB used to transfer (said whichever is easiet)	A	THIN FILM SYNTHESIS
XRD for crystallographic orientation	3	Optical Property Measurement	3	Analyze	Manual	Origin plot software	Email_A	A_XRD_info	XRD proprietary format	Both	Hand-input	Labarchive_A	A_XRD_plot	Unspecified XRD plot format	Data		A	THIN FILM SYNTHESIS
XRD for crystallographic orientation	3	Optical Property Measurement	4	Analyze	Manual	HighScore Plus XRD software	Labarchive_A	A_XRD_plot	Origin software priopreitary format	Data	Hand-input	Labarchive_A	A_XRD_plot_fit	Unspecified XRD plot fit profile format	Data		A	THIN FILM SYNTHESIS
XRD for crystallographic orientation	3	Optical Property Measurement	5	Store	Manual	Dropbox	Labarchive_A	A_XRD_plot_fit	Unspecified XRD plot format	Data	Hand-input	Dropbox:Group	A_XRD_plot_fit	Unspecified XRD plot fit profile format	Data		A	THIN FILM SYNTHESIS
XRD for crystallographic orientation	3	Optical Property Measurement	6	Store	Manual	Store	XRD:MIT MRL	A_ThinFilm_1	Physical material	Data	Hand-transfer	Lab sample storage	A_ThinFilm_1	Physical material	Data		A	THIN FILM SYNTHESIS
XRF for elemental composition	4	Optical Property Measurement	1	Measure	Automated partially	XRF:MIT MRL	Lab sample storage	A_ThinFilm_1	Physical material	Data	XRF:MIT MRL	Email_A	A_XRF_info	XRF proprietary format	Data	equipment location: shared facility (MRL, 4th floor building 13)	A	THIN FILM SYNTHESIS
XRF for elemental composition	4	Optical Property Measurement	2	Transfer	Manual	Email	XRF:MIT MRL	A_XRF_info	XRF proprietary format	Both	Hand-input	Email_A	A_XRF_info	XRF proprietary format	Both	*Method: email, dropbox, or USB used to transfer (said whichever is easiet)	A	THIN FILM SYNTHESIS
XRF for elemental composition	4	Optical Property Measurement	3	Analyze	Manual	Origin plot software	Email_A	A_XRF_info	XRF proprietary format	Both	Hand-input	Labarchive_A	A_XRF_plot	Unspecified XRF plot format	Data		A	THIN FILM SYNTHESIS
XRF for elemental composition	4	Optical Property Measurement	4	Analyze	Manual	XRF proprietary software	Labarchive_A	A_XRF_plot	Origin software priopreitary format	Data	Hand-input	Labarchive_A	A_XRF_plot_fit	Unspecified XRF plot fit profile format	Data		A	THIN FILM SYNTHESIS
XRF for elemental composition	4	Optical Property Measurement	5	Store	Manual	Dropbox	Labarchive_A	A_XRF_plot_fit	Unspecified XRF plot format	Data	Hand-input	Dropbox:Group	A_XRF_plot_fit	Unspecified XRF plot fit profile format	Data		A	THIN FILM SYNTHESIS
XRF for elemental composition	4	Optical Property Measurement	6	Store	Manual	Store	XRF:MIT MRL	A_ThinFilm_1	Physical material	Data	Hand-transfer	Lab sample storage	A_ThinFilm_1	Physical material	Data		A	THIN FILM SYNTHESIS
Sample BaZrS3 Sythesis	1	Sample Synthesis	1	Transfer	Manual	Mail	USCB	B_CrystalBulk_1	Physical material	Data	Postal Carrier	Lab sample storage	B_CrystalBulk_1	Physical material	Data		B	ELECTRONIC TRANSPORT
Sample BaZrS3 Sythesis	1	Sample Synthesis	2	Communicate	Manual	Email	USCB	B_CrystalBulk_1_info	TXT	Metadata	Hand-input	Labarchive_B	B_CrystalBulk_1_info	TXT	Metadata		B	ELECTRONIC TRANSPORT
Sample BaZrS3 Sythesis	1	Sample Synthesis	3	Store	Manual	Labarchive	Email_B	B_CrystalBulk_1_info	TXT	Metadata	Hand-input	Labarchive_B	B_CrystalBulk_1_info	TXT	Metadata		B	ELECTRONIC TRANSPORT
XRD Measurement	2	Composition Measurement	1	Measure	Automated partially	XRD:MIT MRL	Lab sample storage	B_CrystalBulk_1	Physical material	Data	XRD:MIT MRL	USB_B	B_XRD_info	XRD proprietary format	Both		B	ELECTRONIC TRANSPORT
XRD Measurement	2	Composition Measurement	2	Store	Manual	Store	XRD:MIT MRL	B_CrystalBulk_1	Physical material	Data	Hand-transfer	Lab sample storage	B_CrystalBulk_1	Physical material	Data		B	ELECTRONIC TRANSPORT
Sample BaZrS3 Preparation (melt)	3	Sample Preparation	1	Transform	Manual	Melt in epoxy	Lab sample storage	B_CrystalBulk_1	Physical material	Data	Melt in epoxy	Lab sample storage	B_CrystalBulk_2	Physical material	Data		B	ELECTRONIC TRANSPORT
Sample BaZrS3 Preparation (melt)	3	Sample Preparation	2	Document	Manual	Melt in epoxy	Lab sample storage	B_CrystalBulk_1	Physical material	Metadata	Melt in epoxy	Labarchive_B	B_CrystalBulk_2_info	TXT	Metadata		B	ELECTRONIC TRANSPORT
Sample BaZrS3 Preparation (melt)	3	Sample Preparation	3	Store	Manual	Store	Melt in epoxy	B_CrystalBulk_2	Physical material	Data	Hand-transfer	Lab sample storage	B_CrystalBulk_2	Physical material	Data		B	ELECTRONIC TRANSPORT
Sample BaZrS3 Preparation (melt)	4	Sample Preparation	1	Transform	Manual	Polish:MIT DMSE	Lab sample storage	B_CrystalBulk_2	Physical material	Data	Polish:MIT DMSE	Lab sample storage	B_CrystalBulk_3	Physical material	Data		B	ELECTRONIC TRANSPORT
Sample BaZrS3 Preparation (melt)	4	Sample Preparation	2	Document	Manual	Polish:MIT DMSE	Lab sample storage	B_CrystalBulk_2	Physical material	Metadata	Polish:MIT DMSE	Labarchive_B	B_CrystalBulk_3_info	TXT	Metadata		B	ELECTRONIC TRANSPORT
Sample BaZrS3 Preparation (polish)	4	Sample Preparation	3	Store	Manual	Store	Polish:MIT DMSE	B_CrystalBulk_3	Physical material	Data	Hand-transfer	Lab sample storage	B_CrystalBulk_3	Physical material	Data		B	ELECTRONIC TRANSPORT
Photolithography (MLA)	5	Sample Preparation	1	Transform	Automated partially	Photolithography	Lab sample storage	B_CrystalBulk_3	Physical material	Data	Photolithography	Lab sample storage	B_CrystalBulk_4	Physical material	Data	machine in Building 39 (nano)	B	ELECTRONIC TRANSPORT
Photolithography (MLA)	5	Sample Preparation	2	Document	Automated partially	Photolithography	Lab sample storage	B_CrystalBulk_3	Physical material	Metadata	Photolithography	Labarchive_B	B_CrystalBulk_4_info	TXT	Metadata		B	ELECTRONIC TRANSPORT
Photolithography (MLA)	5	Sample Preparation	3	Store	Manual	Store	Photolithography	B_CrystalBulk_4	Physical material	Data	Hand-transfer	Lab sample storage	B_CrystalBulk_4	Physical material	Data		B	ELECTRONIC TRANSPORT
SEM 4-Probe set up	6	Composition Measurement	1	Measure	Automated partially	SEM with 4-probe:External Group I	Lab sample storage	B_CrystalBulk_4	Physical material	Data	SEM with 4-probe:External Group I	USB_B	B_SEM_1_info	Unspecified SEM image format	Data	machine in collaborator lab	B	ELECTRONIC TRANSPORT
SEM 4-Probe set up	6	Composition Measurement	2	Measure	Automated partially	SEM with 4-probe:External Group I	Lab sample storage	B_CrystalBulk_4	Physical material	Metadata	SEM with 4-probe:External Group I	Labarchive_B	B_SEM_parameters	TXT	Metadata		B	ELECTRONIC TRANSPORT
SEM 4-Probe set up	6	Composition Measurement	3	Store	Manual	Dropbox	USB_B	B_SEM_1_info	Unspecified SEM image format	Data	Hand-input	Dropbox:Group	B_SEM_1_info	Unspecified SEM image format	Data		B	ELECTRONIC TRANSPORT
SEM 4-Probe set up	6	Composition Measurement	4	Analyze	Manual	Unspecified analysis technique	Dropbox:Group	B_SEM_1_info	Unspecified SEM image format	Data	Hand-input	Labarchive_B	B_SEM_1_analyzed	TXT	Data		B	ELECTRONIC TRANSPORT
SEM 4-Probe set up	7	Electrical Property Measurement	1	Measure	Automated partially	SEM with 4-probe:External Group I	Lab sample storage	B_CrystalBulk_4	Physical material	Data	SEM with 4-probe:External Group I	USB_B	B_Electrical_1_info	TXT	Data		B	ELECTRONIC TRANSPORT
SEM 4-Probe set up	7	Electrical Property Measurement	2	Document	Automated partially	SEM with 4-probe:External Group I	Lab sample storage	B_CrystalBulk_4	Physical material	Metadata	SEM with 4-probe:External Group I	Labarchive_B	B_Electrical_parameters	TXT	Metadata		B	ELECTRONIC TRANSPORT
SEM 4-Probe set up	7	Electrical Property Measurement	3	Store	Manual	Dropbox	USB_B	B_Electrical_1_info	TXT	Data	Hand-input	Dropbox:Group	B_Electrical_1_info	TXT	Data		B	ELECTRONIC TRANSPORT
SEM 4-Probe set up	7	Electrical Property Measurement	4	Analyze	Manual	Unspecified analysis technique	Dropbox:Group	B_Electrical_1_info	TXT	Data	Hand-input	Labarchive_B	B_Electrical_1_analyzed	TXT	Data		B	ELECTRONIC TRANSPORT
SEM 4-Probe set up	7	Electrical Property Measurement	5	Store	Manual	Store	SEM with 4-probe:External Group I	B_CrystalBulk_4	Physical material	Data	Hand-transfer	Lab sample storage	B_CrystalBulk_4	Physical material	Data		B	ELECTRONIC TRANSPORT
Synthesis of single crystal	1	Sample Synthesis	1	Synthesize	Automated partially	CVT (Chemical Vapor Transfer)	Unknown Physical	C_Substrate_1	Physical material	Data	CVT	Postal Carrier	C_SingleCrystal_1	Physical material	Data	crystal synthesized by (unknown) collaborator	C	DIFFUSIONLESS PHASE CHANGE MATERIAL
Synthesis of single crystal	1	Sample Synthesis	2	Transfer	Manual	Mail	Postal Carrier	C_SingleCrystal_1	Physical material	Data	Hand-transfer	Lab sample storage	C_SingleCrystal_1	Physical material	Data	SingleCrystal_1 is crystal bulk from collaborator	C	DIFFUSIONLESS PHASE CHANGE MATERIAL
XRD for crystallographic orientation (for crystal bulk)	2	Optical Property Measurement	1	Measure	Automated partially	XRD:MIT MRL	Lab sample storage	C_SingleCrystal_1	Physical material	Data	XRD:MIT MRL	Dropbox:Group	C_XRD_1	XRD proprietary format	Data		C	DIFFUSIONLESS PHASE CHANGE MATERIAL
XRD for crystallographic orientation (for crystal bulk)	2	Optical Property Measurement	2	Document	Manual	XRD:MIT MRL	Lab sample storage	C_SingleCrystal_1	Physical material	Data	XRD:MIT MRL	OneNote_C	C_XRD_parameters	TXT	Metadata		C	DIFFUSIONLESS PHASE CHANGE MATERIAL
XRD for crystallographic orientation	2	Optical Property Measurement	3	Store	Manual	Dropbox	XRD:MIT MRL	C_XRD_1	XRD proprietary format	Both	Hand-input	Dropbox:Group	C_XRD_1	XRD proprietary format	Both	transfer between XRD computer to Dropbox not specified (assumed that uploaded directly to Dropbox from XRD computer based on other interview feedback)	C	DIFFUSIONLESS PHASE CHANGE MATERIAL
XRD for crystallographic orientation	2	Optical Property Measurement	4	Analyze	Manual	Origin plot software	Dropbox:Group	C_XRD_1	XRD proprietary format	Both	Hand-input	Dropbox:Group	C_XRD_plot	Unspecified XRD plot format	Data		C	DIFFUSIONLESS PHASE CHANGE MATERIAL
XRD for crystallographic orientation	2	Optical Property Measurement	5	Analyze	Manual	HighScore Plus XRD software	Dropbox:Group	C_XRD_plot	Origin software priopreitary format	Data	Hand-input	Dropbox:Group	C_XRD_plot_fit	Unspecified XRD plot fit profile format	Data		C	DIFFUSIONLESS PHASE CHANGE MATERIAL
XRD for crystallographic orientation	2	Optical Property Measurement	6	Transfer	Manual	Labarchive	Dropbox:Group	C_XRD_parameters	TXT	Metadata	Hand-input	Labarchive:Group	C_XRD_parameters	TXT	Metadata		C	DIFFUSIONLESS PHASE CHANGE MATERIAL
XRD for crystallographic orientation	2	Optical Property Measurement	7	Store	Manual	Store	XRD:MIT MRL	C_SingleCrystal_1	Physical material	Data	Hand-transfer	Lab sample storage	C_SingleCrystal_1	Physical material	Data		C	DIFFUSIONLESS PHASE CHANGE MATERIAL
Preparation of single crystal	3	Sample Preparation	1	Transform	Manual	Scotch Tape Method (mechnical exfoliation)	Lab sample storage	C_SingleCrystal_1	Physical material	Data	Scotch Tape Method (mechnical exfoliation)	Lab sample storage	C_SingleCrystal_2	Physical material	Data	SingleCrystal_1 is small crystal (about 2 micro) from crystal bulk	C	DIFFUSIONLESS PHASE CHANGE MATERIAL
Preparation of single crystal	3	Sample Preparation	2	Document	Manual	Scotch Tape Method (mechnical exfoliation)	Lab sample storage	C_SingleCrystal_1	Physical material	Data	Scotch Tape Method (mechnical exfoliation)	OneNote_C	C_Exfoliation_parameters	TXT	Metadata		C	DIFFUSIONLESS PHASE CHANGE MATERIAL
Ellipsometry for crystal structure	4	Optical Property Measurement	1	Measure	Automated partially	Ellipsometry with Laser Setup:ISN	Lab sample storage	C_SingleCrystal_2	Physical material	Data	Ellipsometry with Laser Setup:ISN	Dropbox:Group	C_Ellipsometry_1	DAT	Data		C	DIFFUSIONLESS PHASE CHANGE MATERIAL
Ellipsometry for crystal structure	4	Optical Property Measurement	2	Document	Manual	Ellipsometry with Laser Setup:ISN	Lab sample storage	C_SingleCrystal_2	Physical material	Data	Ellipsometry with Laser Setup:ISN	OneNote_C	C_Ellipsometry_parameters	TXT	Metadata		C	DIFFUSIONLESS PHASE CHANGE MATERIAL
Ellipsometry for crystal structure	4	Optical Property Measurement	3	Store	Manual	Dropbox	Ellipsometry with Laser Setup:ISN	C_Ellipsometry_1	DAT	Data	Hand-input	Dropbox:Group	C_Ellipsometry_1	DAT	Data		C	DIFFUSIONLESS PHASE CHANGE MATERIAL
